Datetime [UTC+10.00],Baro [m],Earth tides [m**2/s**2],FG822-1 [m],FG822-1_corrected [m]
22/10/2014 21:30:00,10.1265,,144.3413,144.3504
22/10/2014 21:45:00,10.1269,,144.3412,144.3509
22/10/2014 22:00:00,10.1274,,144.3398,144.3504
22/10/2014 22:15:00,10.1278,,144.34,144.3513
22/10/2014 22:30:00,10.1284,,144.3388,144.3509
22/10/2014 22:45:00,10.1293,,144.3378,144.3508
22/10/2014 23:00:00,10.1304,,144.3364,144.3504
22/10/2014 23:15:00,10.1313,,144.3356,144.3507
22/10/2014 23:30:00,10.1324,,144.3339,144.3501
22/10/2014 23:45:00,10.1341,,144.3329,144.3503
23/10/2014 00:00:00,10.1365,,144.3315,144.3501
23/10/2014 00:15:00,10.14,,144.3307,144.3506
23/10/2014 00:30:00,10.1437,,144.3297,144.351
23/10/2014 00:45:00,10.1468,,144.3283,144.3509
23/10/2014 01:00:00,10.1495,,144.3275,144.3513
23/10/2014 01:15:00,10.1519,,144.3267,144.3517
23/10/2014 01:30:00,10.154,,144.3252,144.3512
23/10/2014 01:45:00,10.156,,144.3252,144.3522
23/10/2014 02:00:00,10.1578,,144.3246,144.3523
23/10/2014 02:15:00,10.1597,,144.3241,144.3527
23/10/2014 02:30:00,10.1612,,144.3234,144.3526
23/10/2014 02:45:00,10.1617,,144.3227,144.3524
23/10/2014 03:00:00,10.1618,,144.3227,144.3526
23/10/2014 03:15:00,10.1621,,144.3228,144.3529
23/10/2014 03:30:00,10.1621,,144.3228,144.3526
23/10/2014 03:45:00,10.1611,,144.3227,144.3522
23/10/2014 04:00:00,10.1598,,144.3234,144.3522
23/10/2014 04:15:00,10.1585,,144.323,144.3511
23/10/2014 04:30:00,10.157,,144.3233,144.3505
23/10/2014 04:45:00,10.1549,,144.3242,144.3504
23/10/2014 05:00:00,10.1528,,144.3252,144.3503
23/10/2014 05:15:00,10.1517,,144.3258,144.3497
23/10/2014 05:30:00,10.1508,,144.326,144.3487
23/10/2014 05:45:00,10.1493,,144.3272,144.3486
23/10/2014 06:00:00,10.1475,,144.3278,144.348
23/10/2014 06:15:00,10.1455,,144.3293,144.3482
23/10/2014 06:30:00,10.1436,,144.3298,144.3475
23/10/2014 06:45:00,10.1423,,144.3311,144.3477
23/10/2014 07:00:00,10.1411,,144.3324,144.348
23/10/2014 07:15:00,10.1395,,144.3341,144.3486
23/10/2014 07:30:00,10.1374,,144.3349,144.3483
