Datetime [UTC+10.00],Baro [m],Earth tides [m**2/s**2],Smith [m],Smith_corrected [m]
03/11/2015 06:30:00,10.0735,,85.726,85.7031
03/11/2015 06:45:00,10.0699,,85.729,85.7047
03/11/2015 07:00:00,10.0662,,85.732,85.707
03/11/2015 07:15:00,10.0614,,85.734,85.7081
03/11/2015 07:30:00,10.0567,,85.738,85.7114
03/11/2015 07:45:00,10.0533,,85.743,85.7154
03/11/2015 08:00:00,10.0501,,85.742,85.7131
03/11/2015 08:15:00,10.0459,,85.748,85.7167
03/11/2015 08:30:00,10.0418,,85.75,85.7164
03/11/2015 08:45:00,10.0392,,85.756,85.7207
03/11/2015 09:00:00,10.0367,,85.759,85.7219
03/11/2015 09:15:00,10.0335,,85.76,85.7221
03/11/2015 09:30:00,10.0298,,85.757,85.718
03/11/2015 09:45:00,10.0247,,85.747,85.7065
03/11/2015 10:00:00,10.021,,85.748,85.706
03/11/2015 10:15:00,10.0226,,85.752,85.7093
03/11/2015 10:30:00,10.0258,,85.746,85.7031
03/11/2015 10:45:00,10.0256,,85.725,85.6818
03/11/2015 11:00:00,10.0293,,85.724,85.6816
03/11/2015 11:15:00,10.0477,,85.726,85.6862
03/11/2015 11:30:00,10.0647,,85.72,85.6833
03/11/2015 11:45:00,10.0628,,85.726,85.689
03/11/2015 12:00:00,10.0569,,85.726,85.6891
03/11/2015 12:15:00,10.0584,,85.724,85.6886
03/11/2015 12:30:00,10.0605,,85.718,85.6853
03/11/2015 12:45:00,10.0588,,85.724,85.6926
03/11/2015 13:00:00,10.0573,,85.724,85.6945
03/11/2015 13:15:00,10.0596,,85.719,85.6929
03/11/2015 13:30:00,10.0619,,85.717,85.693
03/11/2015 13:45:00,10.0601,,85.715,85.6929
03/11/2015 14:00:00,10.0587,,85.713,85.6915
03/11/2015 14:15:00,10.0624,,85.71,85.6915
03/11/2015 14:30:00,10.0668,,85.709,85.6913
03/11/2015 14:45:00,10.0684,,85.708,85.6906
03/11/2015 15:00:00,10.0696,,85.708,85.6909
03/11/2015 15:15:00,10.0724,,85.708,85.6895
03/11/2015 15:30:00,10.0747,,85.71,85.6901
03/11/2015 15:45:00,10.0745,,85.711,85.6898
03/11/2015 16:00:00,10.0735,,85.711,85.6889
03/11/2015 16:15:00,10.0729,,85.712,85.6894
03/11/2015 16:30:00,10.0724,,85.711,85.6887
03/11/2015 16:45:00,10.0718,,85.713,85.6888
03/11/2015 17:00:00,10.0714,,85.714,85.6889
03/11/2015 17:15:00,10.0722,,85.717,85.6915
03/11/2015 17:30:00,10.0726,,85.72,85.6927
03/11/2015 17:45:00,10.071,,85.721,85.6931
03/11/2015 18:00:00,10.0684,,85.724,85.6949
03/11/2015 18:15:00,10.0653,,85.725,85.6944
03/11/2015 18:30:00,10.0622,,85.725,85.6928
03/11/2015 18:45:00,10.0598,,85.726,85.6919
03/11/2015 19:00:00,10.0581,,85.727,85.6918
03/11/2015 19:15:00,10.0578,,85.727,85.6916
03/11/2015 19:30:00,10.0578,,85.727,85.6917
03/11/2015 19:45:00,10.0573,,85.726,85.6902
03/11/2015 20:00:00,10.0568,,85.725,85.6888
03/11/2015 20:15:00,10.0567,,85.724,85.6887
03/11/2015 20:30:00,10.0572,,85.724,85.6904
03/11/2015 20:45:00,10.0588,,85.724,85.6908
03/11/2015 21:00:00,10.0604,,85.725,85.6927
03/11/2015 21:15:00,10.0605,,85.725,85.6934
03/11/2015 21:30:00,10.0601,,85.725,85.6944
03/11/2015 21:45:00,10.0596,,85.723,85.6945
03/11/2015 22:00:00,10.0592,,85.721,85.6931
03/11/2015 22:15:00,10.0591,,85.719,85.6931
